,formula,mp-id,crystal system,density,energy above hull,band gap,efermi,is gap direct,theoretical
358,Li9Mn2Co5O16,mp-1175735,P-1,4.2941471801778475,0.18352163125000054,0.0,2.56006833,False,True
359,Li24Ti11CrO36,mp-779227,C2,3.3545742837660675,0.0032495474652805,1.4433999999999998,1.97691995,True,True
360,Li2SbSO4F3,mp-769153,P2_12_12_1,3.282837528988142,0.07450529727272492,4.3691,0.82379886,False,True
361,Li5Mn2P2(CO7)2,mp-768852,P2_1/m,2.739871348765479,0.04796230389999945,0.0,1.87421403,False,True
362,Li5Ti3O8,mp-756645,R-3m,3.4536558360360763,0.02244760843749738,0.0,4.78531112,False,True
363,Li9Mn2Co5O16,mp-1100668,Cm,4.195878340738541,0.14662002218750025,0.0,2.64116136,False,True
364,Li4CoOF4,mp-759652,I4/mmm,3.3071022200313607,0.04940287799999865,0.017400000000000304,2.33409768,False,True
365,Li3VPCO7,mp-861720,P1,2.690650685126568,0.08060403538461713,2.5652999999999997,3.30563036,False,True
366,Li5Mn(CoO4)2,mp-1174236,Cm,4.024842338366705,0.08947857343749721,0.0,2.62715143,False,True
367,Li6V3P8O29,mp-1177100,P1,2.5876465671517797,0.022949372346007024,1.5882999999999998,0.43162351,False,True
368,Li7Mn5O12,mp-1175385,P2/m,3.882332163884682,0.07047787645833381,0.0,3.22876035,False,True
369,Li2Cr(PO3)4,mp-774367,P2_1/c,2.3853744896584366,0.08003591940885624,3.3655,1.61851787,True,True
370,Li4Mn3(OF3)2,mp-753977,P-1,3.335675863741678,0.08165199733333317,2.2634999999999996,1.61662939,False,True
371,Li7Mn2(CoO4)3,mp-1174891,P2/m,4.083826329619186,0.0607682920833339,1.3423000000000003,3.56192574,False,True
372,Li8Mn3V(PO4)6,mp-768511,P1,2.8344364457474014,0.04054945809524213,0.40249999999999986,1.68675506,False,True
373,Li3Co2(SiO4)2,mp-1177732,P1,3.0603035079562266,0.08312741800000012,0.5561,1.75310579,False,True
374,Li6V3P6WO24,mp-758674,P1,3.2845715254694174,0.05927293509375531,1.5166999999999997,2.36131872,False,True
375,Li2SnP2O7,mp-863377,C2/c,2.893521091143941,0.0857903631249819,2.0935,1.60635198,False,True
376,Li3MnV(PO4)3,mp-774297,R3,2.8813681893908236,0.03364236668749765,0.0,1.64118969,False,True
377,Li3MnCoO5,mp-1174206,R-3m,3.7997926883268875,0.27258826549998894,0.0,2.52069614,False,True
378,Li4Cr3(CO3)6,mp-758282,P-1,2.892892264049399,0.04959073840725914,0.6537999999999999,3.13130167,False,True
379,Li7Co5O12,mp-1174274,C2/m,4.249189125387533,0.052355032083330144,0.9184000000000001,3.04652283,False,True
380,Li2HfO3,mp-770997,C2/m,6.5962655275566435,0.011109663333330744,4.1189,1.45756233,False,True
381,Li9Mn2Co5O16,mp-1100755,Cm,4.160158964391746,0.1268435406250008,0.0,2.71305054,False,True
382,Li7Mn4CoO12,mp-1175306,Cm,3.8915229708405903,0.10412373052083268,0.0,2.53417261,False,True
383,Li2MnPO4F,mp-1172968,P1,3.0080028169944337,0.06555735361111115,3.7342999999999997,5.48893828,True,True
384,Li2MgZrO4,mp-1222626,I-4m2,3.909733082641194,0.016150631874996435,2.9598000000000004,2.12841676,False,True
385,Li6CrO4,mp-772552,P4_2/nmc,2.4667885298650702,0.09565789454545559,0.45760000000000023,3.32832491,False,True
386,Li9Mn2Co5O16,mp-1175744,P-1,4.153365865332798,0.1109802678125007,0.0,2.14049744,False,True
387,Li9Mn2Co5O16,mp-1175481,P-1,4.188164534581054,0.08141165062500022,1.1871,3.4689939,False,True
388,Li7Mn4CoO12,mp-1640528,C2/m,3.9987372311733456,0.05942574072916518,0.3248000000000002,3.73834491,False,True
389,Li5Fe4(P2O7)4,mp-1177159,P1,3.0705110714342165,0.06463988325926362,1.1907,3.30939129,False,True
390,Li2VO2,mp-774411,P-3m1,3.4262223193539616,0.10280860199999875,1.6694000000000004,4.02839368,False,True
391,Li3VFeP2(O4F)2,mp-1177545,P1,3.163679423807041,0.0,2.4464000000000006,1.79271918,False,True
392,KLi3PbO4,mp-559106,P-1,4.712084679195278,0.0,1.6930999999999998,1.17055634,False,True
393,Li3Ni2(PO4)3,mp-26679,C2/m,3.413666552565205,0.07463401602082964,0.0,2.36478481,False,True
394,Li2Mn(SiO3)2,mp-1263073,C2,2.7876187670010197,0.05283152128787716,3.4173000000000004,5.03108818,False,True
395,Li10Cr3P6(O4F)6,mp-760793,P3,2.5920016922918596,0.08446268920310995,0.0,0.01521174,False,True
396,Li24Mn5Cr7O36,mp-768784,P1,3.640986769164292,0.03577245013888586,1.0341,2.16105533,False,True
397,Li7Mn2(CoO4)3,mp-1175134,Cm,4.010160802224408,0.13945517208333413,0.0,2.67450098,False,True
398,Li6V3P8O29,mp-1176927,P1,2.5661910475279925,0.021646107889486288,0.9571000000000001,0.73653802,False,True
399,Li2Mn(PO4)2,mp-753609,P-1,2.954947196982713,0.04813381073718137,0.49449999999999994,1.3321028,False,True
400,Li4MnCo2O7,mp-1374732,P-1,4.107932478862597,1.8638357221428556,0.0,3.03586259,False,True
401,Li3V2(SiO5)2,mp-25243,Cmce,3.0248236827393664,0.06983522676468912,1.0726,2.68416082,False,True
402,Li7Mn5O12,mp-1642906,P-1,3.8620113121918735,0.029443093958333222,0.8207,2.75154833,False,True
403,Li5Ni3O5F3,mp-801465,P1,4.017549533858187,0.6977021069791665,0.0,2.70226907,False,True
404,Li2Mn(SiO3)2,mp-757250,Pmn2_1,2.932576245439255,0.07204075477272642,2.6073999999999997,3.27027156,True,True
405,Li4V3O8,mp-1314586,Pc,3.3586121583849295,0.06870764358334025,1.7335,2.00001912,False,True
406,Li5V3P8O29,mp-765137,P1,2.548119646625459,0.03377249975925878,0.7725,0.64591149,False,True
407,Li7Mn4CoO12,mp-1175275,P2/m,4.030388968944942,0.029529502187498835,0.7710000000000004,3.08132897,False,True
408,Li7Mn2(CoO4)3,mp-1175075,P1,4.040197682395371,0.13313740208333424,0.0,2.57693453,False,True
409,Li3Co2(SiO4)2,mp-774355,Pc,3.092473040874717,0.0595900536666667,0.2174999999999998,1.85447982,False,True
410,Li4TiCrO6,mp-768403,C2,3.45973601871327,0.019027968541664997,1.1997999999999998,3.22054478,False,True
411,Li2FeSiO4,mp-752853,I-42m,3.1245756397251836,0.014926680625000799,2.6273,2.06456053,False,True
412,Li6V(OF)3,mp-861486,P1,2.5060195800095,0.10279327500000157,2.1076,1.78663582,False,True
413,Li5V3P8O29,mp-773108,P1,2.5669267852759345,0.03489414575925753,0.9957,0.56626042,False,True
414,Li3NiPCO7,mp-771345,P2_1,2.869040743408961,0.04533712269231138,3.2641999999999998,1.47130994,False,True
415,Li9Mn2Co5O16,mp-1176304,C2/m,4.165470935018833,0.0868245181250007,0.15850000000000009,2.79981167,False,True
416,Li2FeO2F,mp-775979,C2/c,3.541586007802383,0.09457073041666586,2.1313000000000004,3.7854394,False,True
417,Li2Si2NiO6,mp-753874,P2_1,3.04761198634276,0.09157312749998692,3.4086,1.75177143,False,True
418,Li9Mn2Co5O16,mp-1100680,Cm,4.209136285921045,0.0739146484375004,0.8679000000000001,2.42670507,False,True
419,Li8Fe7(PO4)8,mp-774835,Cm,3.333016813178594,0.02814579609090817,0.024399999999999977,3.35040487,False,True
420,Li2Cu(Si2O5)2,mp-757101,P-1,2.893112792512669,0.0811125958823542,0.7930999999999999,3.06726376,False,True
421,Li3FeBO4,mp-778748,I4_1/a,3.0192532055009718,0.07577918388888705,3.0694000000000004,2.08345307,True,True
422,Li3MnV(PO4)3,mp-779368,P1,2.9018427996703084,0.0668357673124973,0.2709999999999999,2.23103819,False,True
423,Li3Ga(BO3)2,mp-556014,P-1,2.7530630569637413,0.010040545208327423,4.1682,0.13798197,False,True
424,Li4MnCo2O7,mp-1174667,Cm,4.041660216908282,0.18895896035714177,0.0,2.30404989,False,True
425,Li7OsO6,mp-34375,P1,4.339488882511389,0.012494622925172116,0.6890000000000001,2.33064344,False,True
426,Li4Mn3(OF3)3,mp-753462,P1,3.4045364907075646,0.09100497054824963,0.5235000000000001,-0.04991582,False,True
427,Li5V3P8O29,mp-773083,P1,2.5385014891027913,0.0369022413148139,0.7483,0.50262315,False,True
428,Li2Bi(BO3)2,mp-768437,P2_1/c,4.347654560292765,0.05550987181818545,0.0,1.18402013,False,True
429,Li7Mn4(P2O7)4,mp-1177043,Pc,2.9296897849210164,0.019811452925504014,0.015099999999999891,2.06541633,False,True
430,Li2V(PO3)5,mp-540330,P2_1/m,2.5298825132799063,0.032200445398549604,1.9238000000000002,1.16399958,False,True
431,Li3Cr2(PO4)3,mp-780606,P1,2.952162093335476,0.0,2.9720999999999997,1.25937579,False,True
432,Li3MnV(PO4)3,mp-768565,P1,2.860989711170366,0.04388881318749682,0.34609999999999985,1.72248639,False,True
433,Li3Sn2(PO4)3,mp-27093,P2_1/c,3.429088066198849,0.0463658935833271,2.3675999999999995,2.49331122,False,True
434,Li3V2(PO4)3,mp-757678,C2,2.609625969392843,0.09268121187502665,2.0829,3.31886362,False,True
435,Li7Mn2(CoO4)3,mp-1174997,P1,4.096357214874094,0.07827153208333382,0.45330000000000004,2.95635067,False,True
436,Li9Mn2Co5O16,mp-1100677,Cm,4.160664663923352,0.08663505437500074,0.8313000000000001,2.37129279,False,True
437,Li9Mn2Co5O16,mp-1175845,P1,4.249721202458829,0.07646248968750058,0.7174,2.62396572,False,True
438,Li9Mn2Co5O16,mp-1100617,Cm,4.155565626335547,0.11166148843750001,0.3900999999999999,2.53245194,False,True
439,Li4V3P8O29,mp-760111,P1,2.5337040967347817,0.04675035299242314,0.9650999999999998,0.35313116,False,True
