material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-1175125,Li7Mn4CoO12,48,P-1,-2.06892082
mp-772115,Li2Cr3(CoO6)2,76,Pbcn,-1.75510423
mp-1178061,Li2Cr3CoO8,56,P1,-2.036107104
mp-765542,Li3Cr3(CoO6)2,80,P2_1/c,-1.789256516
mp-1666930,Li5Cr2Co3O10,40,P1,-1.918060142
mp-772364,Li9Cr12Co7O48,76,P1,-1.732257914
mp-771052,Li10Fe3Ni7O20,40,P2/m,-1.62116402
mp-769545,Li10FeNi9O20,40,P-1,-1.529883351
mp-780190,Li2Cr3(NiO6)2,76,Pbcn,-1.73289688
mp-1178044,Li2Cr3NiO8,56,P4_3,-2.010807735
mp-1178127,Li2Fe3NiO8,56,P2_1,-1.514888937
mp-776318,Li2FeNi3O8,56,P1,-1.323607985
mp-1211383,Li2Ni2(MoO4)3,76,Pnma,-1.935700087
mp-772885,Li3Cr3(NiO6)2,80,P2_1/c,-1.768661813
mp-768676,Li3Cr3NiO8,60,P2/m,-2.076828583
mp-759182,Li3Fe2Ni5O12,66,P1,-1.361472358
mp-780469,Li4Cr2Ni5O12,46,P2_1,-1.652394907
mp-758641,Li4Fe2Ni5O12,46,P2_1,-1.478019304
mp-758177,Li4Fe5(NiO6)2,46,P2_1,-1.701453639
mp-1177433,Li4Ti4Cr4NiO18,62,Pbam,-2.616355378
mp-767907,Li4Ti4V4NiO18,62,Pbam,-2.735778385
mp-759272,Li5Cr3NiO8,68,P4_332,-2.155423966
mp-1282931,Li5V2Ni3O10,40,P1,-2.046535193
mp-769574,Li7V6Ni5O24,42,P-1,-2.122546557
mp-1177063,Li9Cr12Ni7O48,76,P1,-1.717493184
mp-1177869,Li2V3CoO8,56,P2_13,-2.327532203
mp-778232,Li2V3Cr2O12,76,Pbcn,-2.324623819
mp-773082,Li2V3CrO8,56,P2_1,-2.478027092
mp-782662,Li2V5Cr2O12,42,P2_1,-2.389611027
mp-774919,Li3V3(CoO6)2,80,P2_1/c,-2.049615438
mp-774596,Li4Ti2V3Cr4O18,62,Pbam,-2.568768917
mp-774581,Li4Ti3V2Cr4O18,62,Pmc2_1,-2.657043618
mp-774678,Li4Ti3V4Cr2O18,62,Pmc2_1,-2.684663139
mp-884288,Li4Ti4V4CrO18,62,Pbam,-2.797962325
mp-774577,Li4Ti4VCr4O18,62,Pbam,-2.760242119
mp-767927,Li4TiV4Cr4O18,62,Pmc2_1,-2.471774953
mp-780707,Li4V5Cr2O12,46,P2_1,-2.38162297
mp-1177172,Li4V5Cr4O18,62,Pbam,-2.373336488
mp-756826,Li5V3Cr2O10,40,P-1,-2.421192096
mp-772560,Li9V12Cr7O48,76,P1,-2.266544556
mp-1178111,Li10Co3Ni7O20,40,C2/m,-1.556630193
mp-759912,Li10CoNi9O20,40,P1,-1.517008353
mp-757851,Li2Co3NiO8,56,P4_332,-1.358070485
mp-1178037,Li2CoNi3O8,56,P1,-1.288098482
mp-1177949,Li2Mn2V3O12,76,Pbcn,-2.227585735
mp-775099,Li2Mn3FeO8,56,P4_332,-1.954936146
mp-1177922,Li2Mn3VO8,56,P2_12_12_1,-2.186967915
mp-769550,Li2Mn5(FeO6)2,42,Cc,-1.953146277
mp-773804,Li2MnFe3O8,56,P4_332,-1.815892731
mp-1177891,Li2MnV3O8,56,R3,-2.43357068
mp-774300,Li3CoNi3O8,45,P-1,-1.42376841
