,battery_formula,battery_id,charge_id,discharge_id
244,Li0-4CrFe3Cu2(PO4)6,mp-773538_Li,mp-773538,mp-1177494
245,Li0-2CrCo3O8,mp-754623_Li,mp-754623,mp-761748
246,Li0-4Ti3Co3(SbO8)2,mp-762505_Li,mp-762505,mp-773002
247,Li0-4Cr3Co5O16,mp-756555_Li,mp-756555,mp-770878
248,Li0-4Cr3Cu(PO4)4,mp-756357_Li,mp-756357,mp-1177451
249,Li1-3Cr2CoO6,mp-753687_Li,mp-763359,mp-753687
250,Li0-8Mn7Co(PO4)12,mp-758047_Li,mp-758047,mp-758412
251,Li0-1CoSbO4,mp-758123_Li,mp-758123,mp-773085
252,Li0-0.5CrCu(WO4)2,mp-1213744_Li,mp-1213744,mp-1236608
253,Li0-2Co3WO8,mp-753391_Li,mp-753391,mp-775180
254,Li0-7Cr3Fe(PO4)6,mp-770489_Li,mp-775201,mp-780107
255,Li0-3Cr(CoO3)2,mp-752462_Li,mp-752462,mp-1277232
256,Li1-2FePCO7,mp-755726_Li,mp-1176697,mp-755726
257,Li3-5Mn(CO3)4,mp-758628_Li,mp-758628,mp-765023
258,Li0-1Co5SbO8,mp-33332_Li,mp-33332,mp-1236250
259,Li0-1Co(SO4)2,mp-771768_Li,mp-771768,mp-774464
260,Li0-3Co4TeO8,mp-755872_Li,mp-1287666,mp-756161
261,Li1-2CrCoO4,mp-757085_Li,mp-762011,mp-1275616
262,Li2-4Cr3CoO8,mp-756128_Li,mp-756128,mp-768691
263,Li0-1Co2C2O7,mp-758125_Li,mp-1178537,mp-758125
264,Li1-6Co3Sb(PO4)6,mp-764378_Li,mp-766096,mp-774592
265,Li0-2Co3TeO8,mp-867653_Li,mp-867653,mp-1178025
266,Li0-4Co3TeO8,mp-753013_Li,mp-753013,mp-772478
267,Li0-0.5Cr2HgO4,mp-21074_Li,mp-21074,mp-1235716
268,Li0-1Cr4GaS8,mp-1211167_Li,mp-1226264,mp-1211167
269,Li4-1Mn3Cr3(FeO8)2,mp-757478_Li,mp-761449,mp-777063
270,Li0-4Cr3Fe2Sb3O16,mp-772506_Li,mp-775288,mp-772506
271,Li0-1Co(CO3)2,mp-753103_Li,mp-1189643,mp-753103
272,Li0.75-1CoS2,mp-757100_Li,mp-767412,mp-757100
273,Li0-1Co(SO4)2,mp-772268_Li,mp-772268,mp-1176804
274,Li0-4Ti3Mn2Cr3O16,mp-776119_Li,mp-776119,mp-778223
275,Li0-4Cr3Ni(PO4)4,mp-757193_Li,mp-775135,mp-757193
276,Li0-1Co2(SO4)3,mp-768501_Li,mp-768501,mp-768616
277,Li1-2MnPCO7,mp-768737_Li,mp-1176660,mp-1177908
278,Li0-1TiCrSO8,mp-766410_Li,mp-1101433,mp-766410
279,Li0-2Co(CO3)2,mp-752864_Li,mp-752886,mp-1178046
280,Li0-6Ti3Cr(PO4)6,mp-758706_Li,mp-774416,mp-758706
281,Li0-1La4CoO8,mp-753934_Li,mp-778224,mp-753934
282,Li0-4CrTe(WO6)2,mp-756075_Li,mp-756075,mp-775973
283,Li0-4Co3Ni3(TeO8)2,mp-757279_Li,mp-850530,mp-757279
284,Li0-2Cr3SbO8,mp-771704_Li,mp-773170,mp-771704
285,Li1-6NbCo3(PO4)6,mp-758592_Li,mp-1176608,mp-758592
